,Text,Date and Time,Likes,Retweets,No. of Images
52,"We are in the process of finalizing the shortlisted candidates for internship at @midasIIITD which we have received in the second round.
We will assign tasks to all shortlisted candidates around early next week. We are also delaying the task since DTU has mid-sem until 15 March.",Fri Mar 08 13:15:34 +0000 2019,8,4,None
53,@ylecun @NilayShri @the_dhumketu @debanjanbhucs will it be useful?,Wed Mar 06 13:44:11 +0000 2019,3,0,None
54,RT @kdnuggets: Python Data Science for Beginners https://t.co/yRExdmdZGh https://t.co/vRqTRuayO3,Wed Mar 06 11:12:30 +0000 2019,0,22,1
55,RT @stanfordnlp: Useful feature of our Python stanfordnlp: get lemmas &amp; morphology in many languages. Le ski de fond touché→lemma toucher f…,Sun Mar 03 19:36:04 +0000 2019,0,36,None
56,"@NilayShri @NilayShri, Certain thing! The next team outing will be for lipreading team. 
Probably, just after @ACMMM19 submission.",Sun Mar 03 17:09:48 +0000 2019,1,0,None
57,"At @midasIIITD, we not only work hard but also have fun. 
Today, we had a team (for Humonics sponsored projects) outing at Pirates of Grill. It was a wonderful day with lots of fun. 

#fun #lunch #MIDAS https://t.co/MEVA1NfHRd",Sun Mar 03 15:37:28 +0000 2019,9,1,3
58,"Considering several requests to extend the deadline for internship application, @midasIIITD at @IIITDelhi has decided that we will open the internship form https://t.co/t54AZ9eo26 again on March 7 and process all application received by March 8, 10 am.

#research #Internship #AI",Sun Mar 03 14:55:31 +0000 2019,6,2,None
59,"RT @jeremyphoward: 39 studies about human perception in 30 minutes by @kennelliott 

Awesome article. If you do any visualization or comput…",Sun Mar 03 14:26:40 +0000 2019,0,315,None
60,Correction:   @midasIIITD at @IIITDelhi,Sat Mar 02 17:43:05 +0000 2019,1,0,None
61,"Thanks much to all aspirants who have applied for the summer internship 2019 at @midasIIITD at @midasIIITD. We have received over 200 applications. Thus, many good applications are not selected for next round. We have sent emails to all candidates, kindly check that for results.",Sat Mar 02 09:59:03 +0000 2019,7,1,None
62,RT @kdnuggets: Keras Hyperparameter Tuning in Google Colab Using Hyperas https://t.co/hmaI4ukJRX https://t.co/s3nTqqgnAb,Thu Feb 28 14:21:21 +0000 2019,0,4,1
63,"RT @RatnRajiv: Great meeting with @midasIIITD alumnus, Sanket Jain today.
He was among first MTech students who worked with me at @IIITDelh…",Tue Feb 26 18:30:52 +0000 2019,0,1,None
64,"Correction: They have published the following paper only:

PROMPT: Personalized User Tag Recommendation for Social Media Photos Leveraging Personal and Social Contexts.",Tue Feb 26 03:40:22 +0000 2019,0,0,None
65,"We will process all applications received by March 1, 2019 and notify all shortlisted candidates by March 3. 

If you have not applied yet for @midasIIITD internship then you may do so by filling the form https://t.co/t54AZ9eo26

#MIDAS #IIITD #Internship #NLP #ML #AI #DL #CV",Mon Feb 25 16:10:46 +0000 2019,2,1,None
66,"RT @ecsquendor: Jit Ghosh discusses the ""GloVe"" 2014 Stanford paper on word embeddings. This one was a great session! #paperreviewcalls #nl…",Sun Feb 24 03:39:40 +0000 2019,0,8,None
67,RT @goodfellow_ian: This CVPR workshop is looking for applications of computer vision in developing countries. You don't need to submit a f…,Sat Feb 23 15:41:27 +0000 2019,0,90,None
68,"RT @IIITDelhi: PhD Admission 2019 are open now

Online applications starts from 20th February 2019 and the last date to apply is 14th March…",Fri Feb 22 11:54:49 +0000 2019,0,8,None
69,"RT @kdnuggets: #AI for Social Good study - how to inform policy, achieve interpretability, reduce bias and more -
include review of global…",Thu Feb 21 16:27:54 +0000 2019,0,14,None
70,"@IIITDelhi has initiated PhD Admission 2019 process (Regular Round).

Online applications start from 20th February 2019 and the last date to apply is 14th March 2019.

For more details please visit the following link: https://t.co/qWa9I7CFqX.

#IIITD #PhD #Admission",Thu Feb 21 06:39:27 +0000 2019,2,1,None
71,"RT @radamihalcea: We tend to focus mainly on creating learning algorithms, and yet there is so much that can be gained from unlearning. In…",Thu Feb 21 04:48:24 +0000 2019,0,13,None
72,"@RealAAAI @RatnRajiv Thanks, @RealAAAI for recognizing our efforts. 

Congratulations, @midasIIITD students for winning Best Student Poster award at 33rd AAAI Conference on Artificial Intelligence. 

Many thanks to authors, Raghav, @the_dhumketu Kshitij, @RatnRajiv @ponguru and Roger. 

#AAAI19 #AI https://t.co/oKy1OYCOAR",Wed Feb 20 07:09:19 +0000 2019,6,3,1
73,"Deepak Gupta, has joined @Google today. 
Earlier this week, Anupam Samanta, has also joined Google. 
Both will be working at Google office in Mount View, California, USA. Having immense pride to see their success.

They have published two papers with @midasIIITD head @RatnRajiv https://t.co/QEiIs5nTSn",Wed Feb 20 05:38:29 +0000 2019,4,2,2
74,RT @ACMMM19: We are pleased to announce the multimedia Grand Challenges that will be offered at ACM Multimedia in 2019. Check out the list;…,Tue Feb 19 17:16:24 +0000 2019,0,15,None
75,"In addition to projects related to NLP and Multimedia systems, we have open positions for 3D animation interns too. 
Candidate should have knowledge of Maya character animation, modeling, and good drawing skills. 

To apply, fill https://t.co/t54AZ9eo26
and mention ""3D Animation""",Tue Feb 19 04:29:33 +0000 2019,3,2,None
76,RT @technology: What could the manufacturing industry teach healthcare?,Tue Feb 19 04:19:05 +0000 2019,0,289,None
77,RT @MSFTResearch: Dr. Layla El Asri wants you to be able to talk to your machine just like you’d talk to another person. That’s the easy pa…,Tue Feb 19 04:18:53 +0000 2019,0,21,None
78,"To apply for @midasIIITD internship at @IIITDelhi, fill the following form: https://t.co/t54AZ9eo26  

Check more details at https://t.co/GvP3wsWtzX

Pls share @debanjanbhucs @RatnRajiv @the_dhumketu @Hitkul_ @NilayShri 

#Research #Internship #Multimedia #NLP #ML #DeepLearning",Mon Feb 18 17:29:44 +0000 2019,11,9,None
79,"RT @CornellDyson: Digital ag is Cornell’s newest radical collaboration initiative→https://t.co/hVXSnoSbnS
#DigitalAg #Cornell @CornellNews…",Mon Feb 18 05:37:59 +0000 2019,0,6,None
